ds_produto,gtin,entrada,saida,saldo
"4 AP.PREST.MAX.GRT.RELOG",7891051020573,2,0,2
"ABSORVENTE COM ABAS SUAVE ULTRAFINO INTIMUS SPORT PACOTE LEVE 32 PAGUE 24 UNIDADES",7896007549375,4,0,4
"ACUCAR REFINADO VIDA 1KG",7898920795044,4,1,3
"AGUARRAZ FARBEN",7899381797899,1,0,1
"AMACIANTE DE ROUPA DILUÍDO ACONCHEGO YPÊ GALÃO 5L",7896098905401,1,0,1
"AMACIANTE MON BIJOU 5L PUREZA",7891022100624,1,0,1
"AMEIXA SECA PREDILECTA C/CAROCO",7896292305625,2,1,1
"AMENDOIM BCO SINHA 500GR",7892300002562,0,1,-1
"AMENDOIM DESCASCADO YOKI 500G",7891095011605,6,2,4
"ARROZ 7 CEREAIS INTEGRAL RÁRIS PACOTE 1KG",7896003941609,1,0,1
"ARROZ 7 GRÃOS INTEGRAL RÁRIS PACOTE 500G",7896003989137,1,1,0
"ARROZ PARBOILIZADO TIPO 1 TIO JOÃO PACOTE 1KG",7893500018469,2,1,1
"ARROZ PRATO FINO PARABOLIZADO TIPO 1 2KG",7896290300318,1,0,1
"ASSEPTGEL CRISTAL HIGIENIZADOR MAOS",7897534803831,13,0,13
"ATENOLOL 50 MG 30 COMPRIMIDOS EMS GENÉRICO",7896004705873,2,0,2
"AZEITE ANDORINHA PORTUGUÊS EXTRA VIRGEM",5601216120114,1,0,1
"AZEITE DE OLIVA EXTRA VIRGEM CLÁSSICO PORTUGUÊS GALLO VIDRO 500ML",5601252231164,1,0,1
"AZI 1500 MG 1 FRASCO SIMILAR",7894916500609,1,0,1
"BISC CREAM CRAKER",7896213000448,1,0,1
"BISCOITO BONO RECHEADO MORANGO NESTLÉ 140G",7891000018774,2,0,2
"BISCOITO CREAM CRACKER CROCKS TRADICIONAL VITARELLA PACOTE 400G",7896213002091,1,0,1
"BISCOITO LEITE MALTADO PIRAQUÊ PACOTE 200G",7896024723482,2,0,2
"BISCOITO MARIA FORTALEZA PACOTE 400G",7891152321166,2,1,1
"BISCOITO MARILAN AMANT. INTEGRAL",7896003704167,1,1,0
"BISCOITO PILAR 400G CREAM CRACKER PREMIUM",7896005021101,1,0,1
"BOLO DONA BENTA CHOCOLATE",7896005272008,1,0,1
"C LEITE NESTLE 30 UN",7891000120101,2,0,2
"CAFÉ TORRADO E MOÍDO A VÁCUO TRADICIONAL PILÃO PACOTE 250G",7896089012637,2,1,1
"CAMIL PARBOILIZADO TIPO 1 PACOTE",7896006716112,3,3,0
"CAST CAJU BRANCA A GRANEL",0000000018500,0.2919999957084656,0,0.2919999957084656
"CENOURA KG KG",4000240001023,0.41499999165534973,0,0.41499999165534973
"CERV ITAIPAV 350ML UN",7897395020279,12,0,12
"CERVEJA ITAIPAVA",7897395040437,7,0,7
"CERVEJA PILSEN ITAIPAVA LATA 269ML",7897395040307,24,0,24
"CERVEJA PILSEN ITAIPAVA LATA 473ML",7897395020217,192,19,173
"CERVEJA SKOL",7891149100828,1,0,1
"Cerveja Skol Pilsen Lager 473ML",7891149201006,0,13,-13
"CEWIN 200 MG/ML GOTAS SANOFI",7897595900708,1,0,1
"CEWIN 500 MG 10 COMPRIMIDOS SANOFI",7897595901514,2,0,2
"CHOC LINDT LIND UN",7610400068505,1,0,1
"CHOC NESTLE 41,5 KIT KAT",7891000248768,8,0,8
"CHOCOLATE BRANCO LINDT SWISS CLASSIC CAIXA 100G",7610400014571,1,0,1
"CHOCOLATE EM PÓ NESTLÉ",7891000451304,0,1,-1
"COENTRO HIDROP UN",7898273890502,1,0,1
"COMBIRON FOLICO 45 COMPRIMIDOS REVESTIDOS 45 COMPRIMIDOS ACHÉ SIMILAR",7896658003653,2,0,2
"COND IL SALONE",7899884208601,1,0,1
"CONTRA FILE BOV RESF CORTADO MATURATTA",7898466103273,0,1,-1
"COSTELA SUÍNA COM MOLHOR BARBECUE SEARA GOURMET 1KG",7894904070565,2,1,1
"Cotonetes Johnson & Johnson C/300 CAIXA",7891010047764,1,0,1
"COXINHA DA ASA DE FRANGO SADIA 1KG",7893000488878,5,1,4
"CREME DE AVELÃ COM CACAU NUTELLA 140G",7898024395232,1,0,1
"CREME DE LEITE CAIXINHA NESTLÉ 200ML",7891000126905,4,0,4
"CREME DENTAL CLEAR MINT COLGATE TOTAL 12 CAIXA 90G",7793100111143,0,1,-1
"CREME DENTAL COLGATE TOTAL12 CL MINT L4P3",7891024111444,2,0,2
"DANONE MORANGO",7891025320555,2,2,0
"DESINF PINHO MM",7891737004880,1,0,1
"DESINFETANTE KALIPTO 5L EUCALIPTO",7891022101300,3,0,3
"DETERG BRILUX NEUTRO 500ML",7896013100515,3,1,2
"ELIT ESM SINT PLATINA 0,9L",7898033941840,1,0,1
"ELIT ZARCAO CINZA 900 ML",7898033941574,1,0,1
"ESCOVA DENTAL MACIA TWISTER COLGATE 3 UNIDADES",7891024102213,1,0,1
"ESPONJ PZ D F L4P3 UN",7898314205326,1,0,1
"ESPONJA LÃ DE AÇO ASSOLAN 60G 8 UNIDADES GRÁTIS 10% DE DESCONTO",7896098901090,2,0,2
"ESPONJA LÃ DE AÇO BOM BRIL ECO 60G 8 UNIDADES",7891022101003,2,0,2
"ESPONJA SCOTCH BRITE NAO RISCA C/10",7891040229451,1,0,1
"FARIN AVEIA QUA165 UN",7892840815783,2,1,1
"FARINHA DE AVEIA QUAKER CAIXA 200G",7894321219929,2,0,2
"Feijão Branco Tipo 1 Pradão 500g ",7898229830118,1,0,1
"FEIJAO FRADINHO CUCO 1KG",7898149730192,1,0,1
"Feijão Fradinho Tipo 1 Manolinho 1kg ",7898257600127,1,0,1
"FEIJAO MANONOLINHO 1KG",7898257600059,3,0,3
"FILTRO DE PAPEL ORIGINAL MELITTA 102 CAIXA 30 UNIDADES",7891021001885,1,0,1
"FÓSFORO DE SEGURANÇA FIAT LUX PINHEIRO 10 UNIDADES",7896007912124,1,0,1
"GEL ANTI-SEP PURE HAND",7896495003588,2,0,2
"GOMA DE MASCAR MORANGO ZERO AÇÚCAR TRIDENT ENVELOPE 8G 5 UNIDADES",7895800201503,1,0,1
"GUARDANAPO GARDENIA PE",7896075300281,1,2,-1
"HIGIENIZADOR EM GEL ANTISSÉPTICO PARA MÃOS COPERALCOOL FRASCO 400G",7896090704460,1,0,1
"IOG DANONE FRUTAS VERM LIQ 170G",7891025111993,14,0,14
"IOGURTE DESNATADO MORANGO ZERO LACTOSE VERDE CAMPO LACFREE COPO 140G",7898205923919,2,0,2
"IOGURTE DESNATADO MORANGO ZERO LACTOSE VERDE CAMPO LACFREE GARRAFA 500G",7898205923650,6,0,6
"IOGURTE DESNATADO ZERO LACTOSE VERDE CAMPO LACFREE GARRAFA 500G",7898205923643,10,0,10
"IOGURTE GREGO VIGOR POTE 100G",7891999003072,2,0,2
"IOGURTE INTEGRAL MORANGO DANONE FRASCO 170G",7891025101376,60,1,59
"IOGURTE INTEGRAL VITAMINA DE FRUTAS DANONE FRASCO 170G",7891025101161,11,0,11
"JOTA REIS ROLO ESPUMA 5CMX12MM",7891595000116,2,0,2
"KIT 3 LIMPADORES MULTIUSO CLÁSSICO + 1 TIRA",7896098901137,1,0,1
"LARANJA PERA KG KG",4000027001024,2.5350000858306885,0,2.5350000858306885
"LASAGNA RICCIA GAROFALO 500GR",8000139001246,1,0,1
"LAVA-ROUPAS CONCENTRADO ROUPAS BRANCAS E COLORIDAS ARIEL FRASCO 2L",7500435115315,1,0,1
"LEITE CONDENSADO MOCA 395G LATA",7891000094792,1,0,1
"LEITE DE COCO TRADICIONAL SOCOCO VIDRO 200ML",7896004400075,8,0,8
"LEITE LIQ BETANIA UHT 1L INT TP ROSCA",7898403782387,1,0,1
"LEITE LV LEITISSIMO 1LT DESNATADO",7898939247039,3,4,-1
"LEITE UHT DESNATADO PIRACANJUBA CAIXA COM TAMPA 1L",7898215151722,4,3,1
"LEITE UHT INTEGRAL 1L COM TAMPA ITALAC",7898080640611,1,1,0
"LEVEL 0,1+0,02MG CAIXA 21 COMP",7896241248287,1,0,1
"LIN SADIA CALABRES KG",7893000993174,1.2319999933242798,0,1.2319999933242798
"LING PANTANEIRA DE PERNIL COM PIMENTA PC 1KG",7898229384734,2,1,1
"LING SEARA FRANGO CONG",7894904727209,1,1,0
"LOSARTANA POTÁSSICA 50 MG 30 COMPRIMIDOS EMS GENÉRICO",7896004706795,4,0,4
"LOSARTANA POTÁSSICA 50 MG 30 COMPRIMIDOS MEDLEY GENÉRICO",7896422507738,8,0,8
"LTE DES PIRACAN C/TP",7898215151739,1,0,1
"LUVA LIMPPANO MULTI USO MEDIA",7896021623440,1,0,1
"MAC AGNESI LASAGNE OVO",8001200046098,2,0,2
